10	1.135
20	1.15797
30	1.18542
40	1.2188
50	1.25877
60	1.30461
70	1.36145
80	1.43011
90	1.51169
100	1.6073
110	1.72787
120	1.84956
130	2.02293
140	2.21958
150	2.44013
160	2.77106
170	3.08998
180	3.44283
190	3.89092
200	4.31271
210	5.0482
220	5.78687
230	6.44572
240	6.4947
250	6.78299
260	7.74224
270	7.49225
280	7.21407
290	6.87398
300	6.21701
310	5.74512
320	5.83553
330	5.59404
340	5.58534
350	5.37928
360	5.14546
370	5.14656
380	5.07024
390	5.05878
400	4.95372
410	4.9091
420	4.84368
430	4.67872
440	4.68354
450	4.67939
460	4.63203
470	4.59708
480	4.61265
490	4.55802
500	4.52901
510	4.48173
520	4.43055
530	4.37649
540	4.35213
550	4.27131
560	4.28478
570	4.23858
580	4.27365
590	4.2739
600	4.31364
610	4.36325
620	4.33247
630	4.29191
640	4.28363
650	4.24495
660	4.25218
670	4.24953
680	4.22287
690	4.24076
700	4.17892
710	4.23917
720	4.23975
730	4.24741
740	4.23196
750	4.24754
760	4.21625
770	4.13291
780	4.11548
790	4.09495
800	4.08701
810	4.09512
820	4.13342
830	4.12029
840	4.12165
850	4.14781
860	4.13773
870	4.18261
880	4.14368
890	4.19025
900	4.15084
910	4.13132
920	4.18352
930	4.18733
940	4.17258
950	4.18145
960	4.18403
970	4.1752
980	4.14469
990	4.14322
1000	4.14175
1010	4.19087
1020	4.19541
1030	4.16946
1040	4.1928
1050	4.18209
1060	4.19578
1070	4.21602
1080	4.19833
1090	4.16903
1100	4.17103
1110	4.14977
1120	4.16704
1130	4.11519
1140	4.12177
1150	4.16822
1160	4.18958
1170	4.16696
1180	4.18886
1190	4.2531
1200	4.19846
1210	4.1813
1220	4.21233
1230	4.16688
1240	4.14827
1250	4.13247
1260	4.16714
1270	4.16568
1280	4.20175
1290	4.24144
1300	4.19474
1310	4.14288
1320	4.18049
1330	4.18129
1340	4.17782
1350	4.16971
1360	4.20982
1370	4.14726
1380	4.11348
1390	4.14974
1400	4.17743
1410	4.18779
1420	4.13672
1430	4.13933
1440	4.19977
1450	4.19261
1460	4.14788
1470	4.13924
1480	4.17949
1490	4.16781
1500	4.22156
1510	4.22062
1520	4.18742
1530	4.25514
1540	4.19315
1550	4.21535
1560	4.24884
1570	4.27576
1580	4.22922
1590	4.23683
1600	4.23326
1610	4.24298
1620	4.23974
1630	4.24909
1640	4.26601
1650	4.26478
1660	4.2311
1670	4.24302
1680	4.22659
1690	4.16494
1700	4.14835
1710	4.16358
1720	4.17517
1730	4.22675
1740	4.23405
1750	4.21697
1760	4.19657
1770	4.17047
1780	4.19596
1790	4.1632
1800	4.10333
1810	4.11401
1820	4.11255
1830	4.10872
1840	4.09141
1850	4.0485
1860	3.97888
1870	3.96717
1880	3.98844
1890	4.06373
1900	4.07891
1910	4.09688
1920	4.1919
1930	4.23229
1940	4.24856
1950	4.21178
1960	4.19738
1970	4.28327
1980	4.28976
1990	4.18922
2000	4.16902
2010	4.1953
2020	4.14968
2030	4.13784
2040	4.19806
2050	4.20614
2060	4.18963
2070	4.21376
2080	4.21115
2090	4.23685
2100	4.18838
2110	4.15415
2120	4.14243
2130	4.18886
2140	4.21497
2150	4.23908
2160	4.22733
2170	4.19806
2180	4.15508
2190	4.13581
